Date,Actual,ARIMA_Forecast,SARIMA_Forecast,Prophet_Forecast,LSTM_Forecast
31-05-2023,203.9299927,171.865183,172.4146847,161.5882053,191.61334
01-06-2023,207.5200043,171.9326187,172.2496586,161.2142815,196.27217
02-06-2023,213.9700012,171.8588264,173.1490764,160.7676902,201.08325
05-06-2023,217.6100006,171.9275181,172.8460724,161.940499,206.36313
06-06-2023,221.3099976,171.8720548,172.716311,160.9857404,211.48886
07-06-2023,224.5700073,171.9096832,172.9961487,160.968026,216.18094
08-06-2023,234.8600006,171.8911003,172.3732004,160.4417306,220.2654
09-06-2023,244.3999939,171.8923102,173.8544941,159.8237922,225.5014
12-06-2023,249.8300018,171.9047809,172.9938363,160.4490131,232.3536
13-06-2023,258.7099915,171.8833735,172.5320299,159.3267082,239.69151
14-06-2023,256.7900085,171.9088109,172.2858295,159.1608923,247.69066
15-06-2023,255.8999939,171.88371,173.3386451,158.5119836,253.43785
16-06-2023,260.5400085,171.9051217,173.0680976,157.8019565,256.2424
20-06-2023,274.4500122,171.889505,172.9030275,157.3005148,257.90347
21-06-2023,259.4599915,171.8984795,173.8024643,157.2279494,262.0802
22-06-2023,264.6099854,171.8958991,173.499451,156.706832,262.34268
23-06-2023,256.6000061,171.8931517,173.3696955,156.1554498,261.96838
26-06-2023,241.0500031,171.8996696,173.6495305,157.3303364,259.1633
27-06-2023,250.2100067,171.8911079,173.0265829,156.4920111,251.85515
28-06-2023,256.2399902,171.9000908,174.5078724,156.6483607,246.69385
29-06-2023,257.5,171.8920069,173.6472136,156.3504931,245.44249
30-06-2023,261.769989,171.8982873,173.1854082,156.0101872,246.8786
03-07-2023,279.8200073,171.8942679,172.9392081,157.6884309,250.57018
05-07-2023,282.480011,171.895979,173.9920223,157.1916105,259.33154
06-07-2023,276.5400085,171.8962978,173.721475,156.9340665,269.24734
07-07-2023,274.4299927,171.894443,173.5564048,156.5988429,275.68665
10-07-2023,269.6099854,171.8972397,174.4558416,158.0989053,278.0599
11-07-2023,269.7900085,171.8940921,174.1528283,157.257812,276.28278
12-07-2023,271.9899902,171.8970829,174.0230728,157.3589827,272.7971
13-07-2023,277.8999939,171.8946225,174.3029078,156.958219,269.83228
14-07-2023,281.3800049,171.8963342,173.6799602,156.4736506,269.40585
17-07-2023,290.3800049,171.8954388,175.1612497,157.5542782,271.2486
18-07-2023,293.3399963,171.8955767,174.3005909,156.6037234,276.2066
19-07-2023,291.2600098,171.8960471,173.8387854,156.6197659,282.24615
20-07-2023,262.8999939,171.8951676,173.5925854,156.1625329,286.67383
21-07-2023,260.019989,171.8962453,174.6453996,155.6534641,281.26233
24-07-2023,269.0599976,171.8951605,174.3748523,156.8678538,271.78403
25-07-2023,265.2799988,171.8961027,174.2097821,156.029794,265.21118
26-07-2023,264.3500061,171.8954002,175.1092189,156.1885009,260.734
27-07-2023,255.7100067,171.8958202,174.8062056,155.9000153,258.3297
28-07-2023,266.4400024,171.8956773,174.6764501,155.5806248,255.42764
31-07-2023,267.4299927,171.8955851,174.9562851,157.4255527,256.0058
01-08-2023,261.0700073,171.8958477,174.3333375,156.7940443,258.48407
02-08-2023,254.1100006,171.8954884,175.814627,157.1448462,259.73932
03-08-2023,259.3200073,171.8958739,174.9539682,157.0265836,258.34183
04-08-2023,253.8600006,171.8955206,174.4921627,156.8485901,257.37955
07-08-2023,251.4499969,171.8958005,174.2459627,158.8869942,255.40327
08-08-2023,249.6999969,171.8956159,175.2987769,158.2291578,252.82468
09-08-2023,242.1900024,171.8957012,175.0282296,158.5044943,250.14267
10-08-2023,245.3399963,171.8957049,174.8631594,158.2615616,246.15947
11-08-2023,242.6499939,171.8956325,175.7625962,157.9111446,243.37834
14-08-2023,239.7599945,171.8957485,175.4595829,159.1825088,241.19614
15-08-2023,232.9600067,171.8956144,175.3298274,158.2047809,239.1797
16-08-2023,225.6000061,171.8957442,175.6096624,158.1405245,236.09142
17-08-2023,219.2200012,171.8956354,174.9867148,157.5470505,231.46776
18-08-2023,215.4900055,171.895713,176.4680043,156.8444313,225.70587
21-08-2023,231.2799988,171.8956703,175.6073455,157.1442816,219.92725
22-08-2023,233.1900024,171.89568,175.14554,155.9014721,219.3782
23-08-2023,236.8600006,171.8956973,174.89934,155.6150631,222.05333
24-08-2023,230.0399933,171.8956614,175.9521542,154.8489495,226.76974
25-08-2023,238.5899963,171.8957069,175.6816069,154.0284295,229.81065
28-08-2023,238.8200073,171.8956601,175.5165367,154.3312832,233.43146
29-08-2023,257.1799927,171.8957015,176.4159735,153.2090233,236.4506
30-08-2023,256.8999939,171.89567,176.1129602,153.0987203,243.00792
31-08-2023,258.0799866,171.8956895,175.9832047,152.5590724,249.58679
01-09-2023,245.0099945,171.895682,176.2630397,152.0085441,254.79854
05-09-2023,256.4899902,171.8956792,175.6400921,152.5210911,254.45763
06-09-2023,251.9199982,171.8956897,177.1213816,152.7528589,254.25594
07-09-2023,251.4900055,171.8956746,176.2607228,152.5357966,252.75752
08-09-2023,248.5,171.8956911,175.7989173,152.2769586,250.81712
11-09-2023,273.5799866,171.8956757,175.5527173,154.1488942,248.32047
12-09-2023,267.480011,171.8956882,176.6055315,153.4478699,252.6719
13-09-2023,271.2999878,171.8956797,176.3349842,153.6786944,257.71823
14-09-2023,276.0400085,171.8956839,176.169914,153.3850886,262.98212
15-09-2023,274.3900146,171.8956836,177.0693508,152.9729305,268.27307
18-09-2023,265.2799988,171.8956808,176.7663374,153.9452353,271.72635
19-09-2023,266.5,171.8956856,176.636582,152.8155302,270.8533
20-09-2023,262.5899963,171.8956799,176.916417,152.5671586,268.33386
21-09-2023,255.6999969,171.8956856,176.2934694,151.7547959,264.52063
22-09-2023,244.8800049,171.8956808,177.7747589,150.7966665,259.23224
25-09-2023,246.9900055,171.8956843,176.9141001,150.1053077,251.81439
26-09-2023,244.1199951,171.8956822,176.4522946,148.4604531,245.91159
27-09-2023,240.5,171.8956828,176.2060946,147.7403508,241.56926
28-09-2023,246.3800049,171.8956834,177.2589088,146.5129211,238.30446
29-09-2023,250.2200012,171.895682,176.9883615,145.2084539,238.0171
02-10-2023,251.6000061,171.8956839,176.8232913,143.9865242,240.36252
03-10-2023,246.5299988,171.8956819,177.7227281,142.3562236,243.93843
04-10-2023,261.1600037,171.8956837,177.4197147,141.7515973,246.06346
05-10-2023,260.0499878,171.8956823,177.2899593,140.7399942,250.73996
06-10-2023,260.5299988,171.8956832,177.5697943,139.7486188,255.18341
09-10-2023,259.6700134,171.8956828,176.9468467,139.9826718,258.5026
10-10-2023,263.6199951,171.8956827,178.4281362,138.9767921,260.08774
11-10-2023,262.9899902,171.8956831,177.5674774,139.0449966,261.3074
12-10-2023,258.8699951,171.8956825,177.1056719,138.7398705,261.71594
13-10-2023,251.1199951,171.8956832,176.8594718,138.4729812,260.42328
16-10-2023,253.9199982,171.8956826,177.9122861,140.827639,256.51065
17-10-2023,254.8500061,171.8956831,177.6417387,140.4587866,253.00581
18-10-2023,242.6799927,171.8956827,177.4766686,141.1051196,250.78946
19-10-2023,220.1100006,171.8956829,178.3761054,141.3069108,246.66132
20-10-2023,211.9900055,171.8956829,178.073092,141.4652611,237.0411
23-10-2023,212.0800018,171.8956828,177.9433366,144.5337988,225.35088
24-10-2023,216.5200043,171.895683,178.2231716,144.2038335,215.65508
25-10-2023,212.4199982,171.8956827,177.600224,144.789959,210.39815
26-10-2023,205.7599945,171.895683,179.0815135,144.8364854,207.72073
27-10-2023,207.3000031,171.8956828,178.2208547,144.7509176,205.59305
30-10-2023,197.3600006,171.8956829,177.7590492,146.6508423,204.76674
31-10-2023,200.8399963,171.8956828,177.5128491,145.8257483,202.57497
01-11-2023,205.6600037,171.8956829,178.5656634,145.8869286,201.11234
02-11-2023,218.5099945,171.8956829,178.295116,145.3934484,201.46855
03-11-2023,219.9600067,171.8956828,178.1300459,144.7676381,205.67973
06-11-2023,219.2700043,171.8956829,179.0294827,145.1861592,211.28877
07-11-2023,222.1799927,171.8956828,178.7264693,143.9554247,216.21991
08-11-2023,222.1100006,171.8956829,178.5967139,143.6721167,220.31633
09-11-2023,209.9799957,171.8956828,178.8765489,142.9026813,222.88982
10-11-2023,214.6499939,171.8956829,178.2536013,142.0746323,221.00964
13-11-2023,223.7100067,171.8956829,179.7348908,142.3454864,218.34221
14-11-2023,237.4100037,171.8956829,178.874232,141.2123688,217.92181
15-11-2023,242.8399963,171.8956829,178.4124265,141.0914125,221.96976
16-11-2023,233.5899963,171.8956829,178.1662264,140.5408476,228.66678
17-11-2023,234.3000031,171.8956829,179.2190407,139.978312,232.86418
20-11-2023,235.6000061,171.8956829,178.9484933,141.2087199,234.95528
21-11-2023,241.1999969,171.8956829,178.7834232,140.4073844,235.69029
22-11-2023,234.2100067,171.8956829,179.68286,140.602613,236.87555
24-11-2023,235.4499969,171.8956829,179.3798466,140.0267539,236.16838
27-11-2023,236.0800018,171.8956829,179.2500912,141.6757656,234.99516
28-11-2023,246.7200012,171.8956829,179.5299262,140.8826621,233.99225
29-11-2023,244.1399994,171.8956829,178.9069786,141.0147466,235.98225
30-11-2023,240.0800018,171.8956829,180.3882681,140.617872,238.33691
01-12-2023,238.8300018,171.8956829,179.5276093,140.1005421,239.3428
04-12-2023,235.5800018,171.8956829,179.0658038,140.7782891,239.13603
05-12-2023,238.7200012,171.8956829,178.8196037,139.5696069,237.54662
06-12-2023,239.3699951,171.8956829,179.872418,139.2583143,236.45082
07-12-2023,242.6399994,171.8956829,179.6018706,138.4029045,236.02153
08-12-2023,243.8399963,171.8956829,179.4368005,137.425202,236.8787
11-12-2023,239.7400055,171.8956829,180.3362373,136.8459698,238.49667
12-12-2023,237.0099945,171.8956829,180.0332239,135.3025986,239.0981
13-12-2023,239.2899933,171.8956829,179.9034685,134.7178313,238.38353
14-12-2023,251.0500031,171.8956829,180.1833035,133.6594299,237.75385
15-12-2023,253.5,171.8956829,179.5603559,132.5566298,240.26219
18-12-2023,252.0800018,171.8956829,181.0416454,132.1113497,244.33519
19-12-2023,257.2200012,171.8956829,180.1809866,130.7847286,247.86617
20-12-2023,247.1399994,171.8956829,179.7191811,130.498009,251.56789
21-12-2023,254.5,171.8956829,179.472981,129.8126628,251.74605
22-12-2023,252.5399933,171.8956829,180.5257953,129.1495451,251.98495
26-12-2023,256.6099854,171.8956829,180.2552479,129.5760704,251.55911
27-12-2023,261.4400024,171.8956829,180.0901778,129.882014,251.92651
28-12-2023,253.1799927,171.8956829,180.9896146,129.7778053,253.80296
29-12-2023,248.4799957,171.8956829,180.6866012,129.6700445,253.78401
02-01-2024,248.4199982,171.8956829,180.5568457,131.8077175,251.63774
03-01-2024,238.4499969,171.8956829,180.8366808,132.3637401,248.95453
04-01-2024,237.9299927,171.8956829,180.2137332,132.4252302,244.11742
05-01-2024,237.4900055,171.8956829,181.6950227,132.3960712,239.37592
08-01-2024,240.4499969,171.8956829,180.8343639,134.6635101,235.78299
09-01-2024,234.9600067,171.8956829,180.3725584,134.0067877,234.45651
10-01-2024,233.9400024,171.8956829,180.1263583,134.2481648,233.29219
11-01-2024,227.2200012,171.8956829,181.1791726,133.9399035,232.36539
12-01-2024,218.8899994,171.8956829,180.9086252,133.4977448,230.18887
16-01-2024,219.9100037,171.8956829,180.7435551,133.2912458,225.95345
17-01-2024,215.5500031,171.8956829,181.6429919,133.1058111,222.02565
18-01-2024,211.8800049,171.8956829,181.3399785,132.4077784,218.14674
19-01-2024,212.1900024,171.8956829,181.210223,131.6240867,214.39511
22-01-2024,208.8000031,171.8956829,181.4900581,131.8768982,211.71619
23-01-2024,209.1399994,171.8956829,180.8671105,130.696314,209.43712
24-01-2024,207.8300018,171.8956829,182.3484,130.513846,208.02948
25-01-2024,182.6300049,171.8956829,181.4877412,129.8927529,207.11426
26-01-2024,183.25,171.8956829,181.0259357,129.2561278,200.84923
29-01-2024,190.9299927,171.8956829,180.7797356,130.299468,193.6181
30-01-2024,191.5899963,171.8956829,181.8325499,129.4655269,189.20807
31-01-2024,187.2899933,171.8956829,181.5620025,129.6508697,187.32864
01-02-2024,188.8600006,171.8956829,181.3969324,129.4049996,186.26154
02-02-2024,187.9100037,171.8956829,182.2963692,129.13679,186.27487
05-02-2024,181.0599976,171.8956829,181.9933558,131.1041368,186.65936
06-02-2024,185.1000061,171.8956829,181.8636003,130.4744718,185.65839
07-02-2024,187.5800018,171.8956829,182.1434354,130.7936727,185.08684
08-02-2024,189.5599976,171.8956829,181.5204878,130.6026942,185.37389
09-02-2024,193.5700073,171.8956829,183.0017773,130.3039834,186.47432
12-02-2024,188.1300049,171.8956829,182.1411185,131.6389846,188.64888
13-02-2024,184.0200043,171.8956829,181.679313,130.6213866,189.66446
14-02-2024,188.7100067,171.8956829,181.4331129,130.4719781,188.93256
15-02-2024,200.4499969,171.8956829,182.4859272,129.7400703,188.47119
16-02-2024,199.9499969,171.8956829,182.2153798,128.8386287,190.82596
20-02-2024,193.7599945,171.8956829,182.0503097,126.3971425,193.96968
21-02-2024,194.7700043,171.8956829,182.9497465,125.5484985,195.43701
22-02-2024,197.4100037,171.8956829,182.6467331,124.1462828,195.93564
23-02-2024,191.9700012,171.8956829,182.5169776,122.61951,196.36592
26-02-2024,199.3999939,171.8956829,182.7968127,120.4464398,195.3735
27-02-2024,199.7299957,171.8956829,182.1738651,118.4093351,195.56715
28-02-2024,202.0399933,171.8956829,183.6551546,117.3578364,196.35071
29-02-2024,201.8800049,171.8956829,182.7944958,115.8634983,197.8064
01-03-2024,202.6399994,171.8956829,182.3326903,114.3585277,199.24619
04-03-2024,188.1399994,171.8956829,182.0864902,112.9267174,200.53683
05-03-2024,180.7400055,171.8956829,183.1393045,111.3464751,198.1086
06-03-2024,176.5399933,171.8956829,182.8687571,110.8429429,192.7011
07-03-2024,178.6499939,171.8956829,182.7036869,109.976228,186.06114
08-03-2024,175.3399963,171.8956829,183.6031238,109.1653657,180.75046
11-03-2024,177.7700043,171.8956829,183.3001104,110.0646049,176.56296
12-03-2024,177.5399933,171.8956829,183.1703549,109.2907715,174.4549
13-03-2024,169.4799957,171.8956829,183.45019,109.5812707,173.87053
14-03-2024,162.5,171.8956829,182.8272424,109.4806168,172.5349
15-03-2024,163.5700073,171.8956829,184.3085319,109.3932188,169.69081
18-03-2024,173.8000031,171.8956829,183.4478731,112.082374,166.94563
19-03-2024,171.3200073,171.8956829,182.9860676,111.7457192,166.99718
20-03-2024,175.6600037,171.8956829,182.7398675,112.3825384,167.96516
21-03-2024,172.8200073,171.8956829,183.7926818,112.5340312,170.20514
22-03-2024,170.8300018,171.8956829,183.5221344,112.6035834,172.04242
25-03-2024,172.6300049,171.8956829,183.3570642,115.2151568,172.8674
26-03-2024,177.6699982,171.8956829,184.2565011,114.6874054,173.35117
27-03-2024,179.8300018,171.8956829,183.9534877,115.0635588,174.59605
28-03-2024,175.7899933,171.8956829,183.8237322,114.8946456,176.40012
01-04-2024,175.2200012,171.8956829,184.1035673,115.9179841,177.2077
02-04-2024,166.6300049,171.8956829,183.4806197,114.9385455,177.1826
03-04-2024,168.3800049,171.8956829,184.9619092,114.8696154,174.81721
04-04-2024,171.1100006,171.8956829,184.1012504,114.2715359,172.11974
05-04-2024,164.8999939,171.8956829,183.6394449,113.5665216,170.36333
08-04-2024,172.9799957,171.8956829,183.3932448,113.8774407,168.12453
09-04-2024,176.8800049,171.8956829,184.4460591,112.6400024,167.87383
10-04-2024,171.7599945,171.8956829,184.1755117,112.354518,169.53226
11-04-2024,174.6000061,171.8956829,184.0104415,111.5799751,170.78015
12-04-2024,171.0500031,171.8956829,184.9098784,110.7357825,172.21808
15-04-2024,161.4799957,171.8956829,184.606865,110.8067263,172.67844
16-04-2024,157.1100006,171.8956829,184.4771095,109.5286044,170.4875
17-04-2024,155.4499969,171.8956829,184.7569446,109.2107839,166.47586
18-04-2024,149.9299927,171.8956829,184.133997,108.4052126,162.00693
19-04-2024,147.0500031,171.8956829,185.6152865,107.524469,157.08154
22-04-2024,142.0500031,171.8956829,184.7546277,107.3927589,152.37888
23-04-2024,144.6799927,171.8956829,184.2928222,106.0004865,147.7627
24-04-2024,162.1300049,171.8956829,184.0466221,105.5402141,144.6931
25-04-2024,170.1799927,171.8956829,185.0994364,104.5628288,146.56836
26-04-2024,168.2899933,171.8956829,184.828889,103.4812341,152.37389
29-04-2024,194.0500031,171.8956829,184.6638188,102.5965267,158.86063
30-04-2024,183.2799988,171.8956829,185.5632557,100.9173647,169.97536
01-05-2024,179.9900055,171.8956829,185.2602423,100.1620979,178.97633
02-05-2024,180.0099945,171.8956829,185.1304868,98.88877003,184.24191
03-05-2024,181.1900024,171.8956829,185.4103219,97.51797045,186.25432
06-05-2024,184.7599945,171.8956829,184.7873743,95.88566713,186.21191
07-05-2024,177.8099976,171.8956829,186.2686638,94.02295846,185.75824
08-05-2024,174.7200012,171.8956829,185.408005,93.1284744,183.5314
09-05-2024,171.9700012,171.8956829,184.9461995,91.76588296,180.16328
10-05-2024,168.4700012,171.8956829,184.6999994,90.36026728,176.30666
13-05-2024,171.8899994,171.8956829,185.7528137,88.97515454,172.274
14-05-2024,177.5500031,171.8956829,185.4822663,87.31308626,169.78314
15-05-2024,173.9900055,171.8956829,185.3171961,86.67512784,169.8558
16-05-2024,174.8399963,171.8956829,186.216633,85.62081624,170.5296
17-05-2024,177.4600067,171.8956829,185.9136196,84.56976802,171.65488
20-05-2024,174.9499969,171.8956829,185.7838641,84.45463949,173.39433
21-05-2024,186.6000061,171.8956829,186.0636992,83.25664197,174.57611
22-05-2024,180.1100006,171.8956829,185.4407516,83.08782542,177.79243
23-05-2024,173.7400055,171.8956829,186.9220411,82.49830218,179.94237
24-05-2024,179.2400055,171.8956829,186.0613823,81.89846584,179.71478
28-05-2024,176.75,171.8956829,185.5995768,82.09084891,179.48895
29-05-2024,176.1900024,171.8956829,185.3533767,82.19094043,178.69615
30-05-2024,178.7899933,171.8956829,186.406191,81.81855818,177.64899
31-05-2024,178.0800018,171.8956829,186.1356436,81.38217619,177.24437
03-06-2024,176.2899933,171.8956829,185.9705734,82.62675148,177.08585
04-06-2024,174.7700043,171.8956829,186.8700103,81.70520084,176.70657
05-06-2024,175,171.8956829,186.5669969,81.72286939,175.97174
